test,vulkan_pvmm,vulkan_chains_union,vulkan_chains_new,vulkan_pvmm_new,vulkan_pvmm_new2,vulkan_pvmm_new3,vulkan_pvmm_new4
,,,,,,,
2-f-graph-mp-semsc-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
2-f-graph-mp-semsc-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
2-f-graph-mp-semsc-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
2-f-graph-mp-avvis-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
2-f-graph-mp-avvis-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
3-f-graph-problem-semsc2-mp-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-fences-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-fences-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc2-mp-fences-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-fences-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-fences-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-mp-fences-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-c-acqrel,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-d-acqrel,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-fence-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-f-graph-problem-semsc-lb-fence-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
3-problem-race-asmo,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
3-problem-race-asmo-alt,PASS,PASS,PASS,PASS,FAIL,PASS,PASS
,,,,,,,
3-new-race-wrr-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-c,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrr-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3-new-race-wrw-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrw-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS
3-new-race-wrw-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,
4.1.2-fix-semsc-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-rw-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-rw-nonpriv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
4.1.2-fix-semsc-nonpriv-r-priv,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
